117;2009-07-09;Mesa y cuatro sillas (140 60x90);767;Con motivos en naranja. Merkamueble. . AUTOCREDITO. Aprovechando la bajada de 75€ de la hipoteca pagamos la mesa con ahorros del Santander. Durante 1 año ingresare 75€ de Cajasur al Santander.;upload/Mesa01.jpg;upload/Mesa02.jpg; ; ; ;;
118;2009-07-30;TDT Blusens;34; ;upload/2015-04-10 22.32.36.png; ; ; ; ;;
119;2009-08-25;Monociclo Luxus;110;Tienda.monociclos.com. +20 Gastos envio. . Freestyle Luxus Cromado. ; ; ; ; ; ;;
120;2009-08-26;TV LG 32LF2510;499; ;upload/TVLGAtras.jpg;upload/TVLGMando.JPG; ; ; ;;
121;2009-09-03;Veraneo 2009;1100;Gasoil 41. Mercadona 114. Comida 50. Mercadona 64. Piso 450. Farmacia 20. Mercado 56. Cena 53  Inma. Comida 42. Ingenio 53. Cena 50. Helados 10. Mercado 50. Helados 10. . TOTAL ~1100. DIA ~   185. ; ; ; ; ; ;;
122;2009-09-17;Olla super rapida Magefesa;55; ; ; ; ; ; ;;
123;2009-11-24;Lavadora LG;527; ;upload/compras_imgiPad de Juan Jose000028.jpg;upload/compras_imgiPad de Juan Jose000029.jpg; ; ; ;;
124;2009-12-19;Comida en Pozoblanco;68; ; ; ; ; ; ;;
125;2009-12-19;Mando a distancia;8;SilverCrest. ;upload/MandoDistanciaSilver.png; ; ; ; ;;
126;2009-12-27;Megaupload;20; ;upload/MegaUpload.png; ; ; ; ;;
127;2010-01-07;iPod Alo;179;Web Apple;upload/Ipod.jpg; ; ; ; ;;
128;2010-01-14;Mesa estudio Alo;42;Rapimueble Ubeda;upload/compras_imgiPad de Juan Jose000030.jpg; ; ; ; ;;
129;2010-03-13;IPod Juanjo;179;El Corte Ingles;upload/Ipod.jpg; ; ; ; ;;
130;2010-03-26;Mochila termo;45; ;upload/PortaComidas.jpg; ; ; ; ;;
131;2010-03-31;Megaupload;20; ; ; ; ; ; ;;
132;2010-06-18;LaCie 500Gb;109;Alcampo;upload/HDDLacie500Gb.jpg; ; ; ; ;;
133;2010-06-29;Altavoces amplicador Philips SPA4310;50;30W;upload/AltavocesPhilips.jpg; ; ; ; ;;
134;2010-06-29;Cuerdas guitarra;6; ;upload/CuerdasGuitarra.jpg; ; ; ; ;;
135;2010-06-30;Gafas Juanjo pasta;870;AlanAffelou. Alcampo; ; ; ; ; ;;
136;2010-07-02;Canape y colchon Alo;528; ; ; ; ; ; ;;
137;2010-07-02;Megaupload;20; ; ; ; ; ; ;;
138;2010-07-05;Verano 2010;1000; ; ; ; ; ; ;;
139;2010-07-07;Auriculares Philips;30;SBC HP400. Base. Torre del mar;upload/01AuricularesPhilips.jpg; ; ; ; ;;
140;2010-07-20;Telefonos Sagem;44; ;upload/2015-04-10 22.26.24.png; ; ; ; ;;
141;2010-07-27;Heladera Quigg;20;Aldi;upload/Heladera.jpg; ; ; ; ;;
142;2010-08-05;Lapices ipod (3);4;DealExtreme;upload/LapizCapacitivo.jpg; ; ; ; ;;
